E,syst,bin_center,hist_val
10,no_syst,546.4285714285714,0.0
10,no_syst,639.2857142857143,6.714780773428824e-09
10,no_syst,732.1428571428571,3.441117259320618e-07
10,no_syst,825.0,2.476659251716079e-06
10,no_syst,917.8571428571429,1.295006084514128e-05
10,no_syst,1010.7142857142858,4.634537759443316e-05
10,no_syst,1103.5714285714284,0.00012777057662944613
10,no_syst,1196.4285714285716,0.00026820716201849114
10,no_syst,1289.2857142857142,0.0004837162352008098
10,no_syst,1382.1428571428573,0.0007165996553447262
10,no_syst,1475.0,0.0009316416834257611
10,no_syst,1567.857142857143,0.0010709059069515608
10,no_syst,1660.7142857142858,0.0010875446606303577
10,no_syst,1753.5714285714284,0.0009987651276415484
10,no_syst,1846.4285714285716,0.0008921646909135039
10,no_syst,1939.2857142857142,0.0007683188299824035
10,no_syst,2032.142857142857,0.0006224368994183001
10,no_syst,2125.0,0.0005109401077290927
10,no_syst,2217.857142857143,0.00042135378173917135
10,no_syst,2310.7142857142862,0.000335544901427552
10,no_syst,2403.5714285714284,0.0002696962923401008
10,no_syst,2496.4285714285716,0.00022327471743267742
10,no_syst,2589.2857142857147,0.00018402480550655306
10,no_syst,2682.142857142857,0.0001591916044502909
10,no_syst,2775.0,0.0001373012890297345
10,no_syst,2867.857142857143,0.00010398982422484854
10,no_syst,2960.714285714286,9.083380009473991e-05
10,no_syst,3053.5714285714284,7.727346942864623e-05
10,no_syst,3146.4285714285716,6.194470204369958e-05
10,no_syst,3239.2857142857147,4.828680515021227e-05
10,no_syst,3332.1428571428573,3.685009277087215e-05
10,no_syst,3425.0,2.884665847613041e-05
10,no_syst,3517.857142857143,1.8988303953426412e-05
10,no_syst,3610.714285714286,1.2905307258129695e-05
10,no_syst,3703.5714285714284,7.827710597003965e-06
10,no_syst,3796.4285714285716,4.699099624344742e-06
10,no_syst,3889.2857142857147,2.53693708154951e-06
10,no_syst,3982.1428571428573,1.5199970115415782e-06
10,no_syst,4075.0,8.015914030725582e-07
10,no_syst,4167.857142857143,3.2453681786099566e-07
10,no_syst,4260.714285714286,6.006096345844884e-08
10,no_syst,4353.571428571428,2.0020321152129837e-08
10,no_syst,4446.428571428572,0.0
10,no_syst,4539.285714285715,0.0
10,no_syst,4632.142857142857,0.0
10,no_syst,4725.0,0.0
10,no_syst,4817.857142857143,0.0
10,no_syst,4910.714285714286,0.0
10,no_syst,5003.571428571428,0.0
10,no_syst,5096.428571428572,0.0
10,no_syst,5189.285714285715,0.0
10,no_syst,5282.142857142857,0.0
10,no_syst,5375.0,0.0
10,no_syst,5467.857142857143,0.0
10,no_syst,5560.714285714286,0.0
10,no_syst,5653.571428571429,0.0
10,no_syst,5746.428571428572,0.0
10,no_syst,5839.285714285715,0.0
10,no_syst,5932.142857142857,0.0
10,no_syst,6025.0,0.0
10,no_syst,6117.857142857143,0.0
10,no_syst,6210.714285714286,0.0
10,no_syst,6303.571428571429,0.0
10,no_syst,6396.428571428572,0.0
10,no_syst,6489.285714285715,0.0
10,no_syst,6582.142857142857,0.0
10,no_syst,6675.0,0.0
10,no_syst,6767.857142857143,0.0
10,no_syst,6860.714285714286,0.0
10,no_syst,6953.571428571429,0.0
100,no_syst,546.4285714285714,0.0
100,no_syst,639.2857142857143,0.0
100,no_syst,732.1428571428571,0.0
100,no_syst,825.0,0.0
100,no_syst,917.8571428571429,0.0
100,no_syst,1010.7142857142858,0.0
100,no_syst,1103.5714285714284,0.0
100,no_syst,1196.4285714285716,1.0860959648690043e-07
100,no_syst,1289.2857142857142,0.0
100,no_syst,1382.1428571428573,0.0
100,no_syst,1475.0,0.0
100,no_syst,1567.857142857143,0.0
100,no_syst,1660.7142857142858,6.716518517711764e-09
100,no_syst,1753.5714285714284,2.0149555553135294e-08
100,no_syst,1846.4285714285716,6.044866665940589e-08
100,no_syst,1939.2857142857142,2.644594509538747e-07
100,no_syst,2032.142857142857,7.994932077767958e-07
100,no_syst,2125.0,2.7381563154106525e-06
100,no_syst,2217.857142857143,5.53669487663429e-06
100,no_syst,2310.7142857142862,1.289139482434703e-05
100,no_syst,2403.5714285714284,2.4168320346309724e-05
100,no_syst,2496.4285714285716,4.3806064886349895e-05
100,no_syst,2589.2857142857147,7.762317904750592e-05
100,no_syst,2682.142857142857,0.00012536810192615406
100,no_syst,2775.0,0.00018245769781534166
100,no_syst,2867.857142857143,0.00025831219000648897
100,no_syst,2960.714285714286,0.0003510760334169983
